Time,acc_x,acc_y,acc_z,Pitch,Roll,Yaw
15.350000,0.001031,0.000402,0.000004,0.000335,0.010433,0.004481,
15.400000,0.001322,0.000393,0.000006,0.000306,0.009550,0.004307,
15.450000,0.001396,0.000397,0.000006,0.000291,0.009202,0.003603,
15.500000,0.001090,0.000377,0.000006,0.000214,0.007306,0.003249,
15.550000,0.001102,0.000275,0.000005,0.000330,0.004698,0.003326,
15.600000,0.001002,0.000265,0.000006,0.000312,0.004745,0.002385,
15.650000,0.000702,0.000266,0.000004,0.000267,0.004113,0.001968,
15.700000,0.000959,0.000206,0.000004,0.000243,0.004347,0.002131,
15.750000,0.001189,0.000319,0.000004,0.000214,0.002754,0.004113,
15.800000,0.001411,0.000293,0.000005,0.000225,0.002652,0.004034,
15.850000,0.001310,0.000252,0.000006,0.000227,0.001056,0.002070,
15.900000,0.001164,0.000250,0.000011,0.000240,0.000535,0.002120,
15.950000,0.003955,0.001112,0.000012,0.000197,0.001318,0.003129,
16.000000,0.003865,0.001104,0.000011,0.000205,0.001340,0.003079,
16.049999,0.003794,0.001118,0.000011,0.000147,0.001273,0.003030,
16.100000,0.003795,0.001120,0.000015,0.000156,0.001264,0.002789,
16.150000,0.003720,0.001133,0.000014,0.000156,0.001238,0.002814,
16.200001,0.002938,0.001063,0.000016,0.000149,0.001084,0.002752,
16.250000,0.001852,0.000908,0.000018,0.000129,0.001062,0.000708,
16.299999,0.001866,0.000901,0.000019,0.000060,0.001095,0.000637,
16.350000,0.001883,0.000906,0.000014,0.000070,0.001088,0.000629,
16.400000,0.001878,0.000904,0.000012,0.000049,0.001048,0.000634,
16.450001,0.000002,0.000002,0.000013,0.000048,0.000098,0.000022,
16.500000,0.000001,0.000002,0.000013,0.000019,0.000031,0.000031,
16.549999,0.000001,0.000002,0.000013,0.000029,0.000045,0.000032,
16.600000,0.000001,0.000003,0.000010,0.000029,0.000042,0.000033,
16.650000,0.000001,0.000003,0.000013,0.000029,0.000035,0.000033,
16.700001,0.000001,0.000003,0.000010,0.000029,0.000045,0.000030,
16.750000,0.000001,0.000003,0.000010,0.000030,0.000048,0.000034,
16.799999,0.000001,0.000002,0.000007,0.000029,0.000053,0.000029,
16.850000,0.000001,0.000002,0.000008,0.000024,0.000046,0.000028,
16.900000,0.000001,0.000002,0.000008,0.000025,0.000051,0.000026,
16.950001,0.000002,0.000002,0.000010,0.000026,0.000051,0.000028,
17.000000,0.000002,0.000002,0.000010,0.000018,0.000050,0.000012,
17.049999,0.000002,0.000002,0.000010,0.000017,0.000035,0.000016,
17.100000,0.000003,0.000001,0.000010,0.000016,0.000037,0.000021,
17.150000,0.000002,0.000001,0.000006,0.000017,0.000029,0.000022,
17.200001,0.000002,0.000001,0.000006,0.000019,0.000024,0.000028,
17.250000,0.000002,0.000001,0.000003,0.000018,0.000012,0.000027,
17.299999,0.000003,0.000001,0.000004,0.000018,0.000008,0.000026,
17.350000,0.000004,0.000001,0.000002,0.000018,0.000008,0.000029,
17.400000,0.000004,0.000001,0.000006,0.000019,0.000008,0.000029,
17.450001,0.000004,0.000002,0.000007,0.000021,0.000009,0.000028,
17.500000,0.000004,0.000002,0.000010,0.000027,0.000010,0.000028,
17.549999,0.000004,0.000002,0.000010,0.000024,0.000012,0.000023,
17.600000,0.000004,0.000002,0.000011,0.000023,0.000015,0.000011,
17.650000,0.000004,0.000002,0.000011,0.000018,0.000016,0.000020,
17.700001,0.000004,0.000001,0.000011,0.000013,0.000014,0.000024,
17.750000,0.000004,0.000001,0.000011,0.000013,0.000025,0.000023,
17.799999,0.000002,0.000001,0.000010,0.000015,0.000021,0.000021,
17.850000,0.000002,0.000001,0.000012,0.000016,0.000020,0.000017,
17.900000,0.000001,0.000001,0.000008,0.000020,0.000020,0.000020,
17.950001,0.000001,0.000001,0.000007,0.000018,0.000022,0.000019,
18.000000,0.000003,0.000001,0.000008,0.000011,0.000022,0.000019,
18.049999,0.000004,0.000001,0.000008,0.000013,0.000030,0.000019,
18.100000,0.000003,0.000001,0.000007,0.000005,0.000032,0.000024,
18.150000,0.000003,0.000001,0.000007,0.000006,0.000032,0.000022,
18.200001,0.000002,0.000001,0.000008,0.000012,0.000037,0.000021,
18.250000,0.000002,0.000002,0.000008,0.000012,0.000028,0.000023,
18.299999,0.000003,0.000002,0.000008,0.000018,0.000024,0.000023,
18.350000,0.000003,0.000002,0.000007,0.000018,0.000024,0.000021,
18.400000,0.000002,0.000003,0.000007,0.000022,0.000024,0.000027,
18.450001,0.000004,0.000004,0.000007,0.000024,0.000018,0.000026,
18.500000,0.000003,0.000004,0.000006,0.000024,0.000015,0.000027,
18.549999,0.000003,0.000005,0.000006,0.000024,0.000010,0.000026,
18.600000,0.000004,0.000005,0.000018,0.000022,0.000026,0.000012,
18.650000,0.000004,0.000005,0.000018,0.000036,0.000027,0.000016,
18.700001,0.000006,0.000008,0.000018,0.000060,0.000110,0.000021,
18.750000,0.000006,0.000029,0.000027,0.000296,0.000268,0.000028,
18.799999,0.000011,0.000198,0.000055,0.000326,0.000343,0.000028,
18.850000,0.000040,0.000231,0.000059,0.000316,0.000336,0.000388,
18.900000,0.000073,0.000626,0.000593,0.000592,0.000729,0.001189,
18.950001,0.000093,0.000645,0.002041,0.000668,0.002785,0.001418,
19.000000,0.001350,0.000696,0.009394,0.002719,0.002806,0.005315,
19.049999,0.001348,0.000773,0.010850,0.003679,0.004735,0.005980,
19.100000,0.001371,0.001262,0.012065,0.004672,0.004722,0.006406,
19.150000,0.001395,0.001309,0.011687,0.004924,0.005433,0.012821,
